window,model,seed,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,period
571,CRLX,0,0.1688166143715023,0.3207809184547169,0.0007631912005227612,0.01531323594176786,0.5569145182446429,0.6538461538461539,post2017
571,CRLX,1,0.1697386013808718,0.31665884019623497,0.0007801006331146347,0.014888770342664049,0.6306645026735282,0.6153846153846154,post2017
571,CRLX,2,0.17310136479922342,0.3241250218504423,0.0007802917917586124,0.015215076751785711,0.6299148984222893,0.625,post2017
571,CRLX,3,0.17173722138854197,0.3167989251509707,0.0007844098013429613,0.014853275668065382,0.6433999945450952,0.6730769230769231,post2017
571,CRLX,4,0.1715304107733941,0.32079283891087795,0.0007597795357009967,0.015000885922257198,0.586148024945873,0.6730769230769231,post2017
571,HAR,0,0.18712765213431812,0.3294586791292971,0.0008343614298732835,0.01551862318796408,0.726564804847441,0.6442307692307693,post2017
571,HARX,0,0.1737478506115961,0.31640662216048376,0.00078614457691529,0.01477705041623889,0.6513969597127709,0.6442307692307693,post2017
571,LSTM,0,0.19873297452843333,0.3360999948026232,0.0008646171336496959,0.015786724850128213,0.8108264547282187,0.6442307692307693,post2017
571,LSTM,1,0.205739833607502,0.34796964017117354,0.0008769977962509495,0.016399158759395006,0.7532128621796835,0.5865384615384616,post2017
571,LSTM,2,0.20721194868698595,0.3477515520221835,0.0009038396342627888,0.016394335889609753,0.8817354079992554,0.6538461538461539,post2017
571,LSTM,3,0.19888439310976908,0.344847625122074,0.0008760471827426264,0.01634765908458745,0.7530402843770994,0.6634615384615384,post2017
571,LSTM,4,0.20238436223995124,0.336244690613644,0.0008898871072188166,0.015866741154474742,0.9102996451823261,0.625,post2017
571,LSTMX,0,0.17178154883026064,0.31450946602326274,0.0007933517835554211,0.014878837951337294,0.6498773256432637,0.7019230769230769,post2017
571,LSTMX,1,0.17458439367876538,0.3085175246965701,0.0008015687722891887,0.014566935513378133,0.6873501843978602,0.6634615384615384,post2017
571,LSTMX,2,0.18300151316028584,0.3282865068365552,0.0008078530234090409,0.01541201539075811,0.6818159587239828,0.6442307692307693,post2017
571,LSTMX,3,0.1852442588268657,0.32861112577442353,0.000805346658822158,0.015327086289490656,0.6883311409424331,0.6634615384615384,post2017
571,LSTMX,4,0.1763647059071753,0.32476375064085156,0.0008063286767471501,0.01529951573688316,0.6544090237124858,0.6442307692307693,post2017
571,Persistence,0,0.22867414802551003,0.37830125498993183,0.0010877120342240752,0.018662571129092868,0.7189457069934044,0.0673076923076923,post2017
571,QR1,0,0.170534102769851,0.3160599554774547,0.0007694613551112116,0.014872938729633025,0.5920787690733433,0.6346153846153846,post2017
571,QR1,1,0.17191830078610565,0.3179052247698272,0.0007771938701544925,0.014979185567438314,0.5980765209342763,0.6634615384615384,post2017
571,QR1,2,0.17166991390959663,0.31603029076666217,0.000767098893591404,0.014795336021669601,0.6030082818132931,0.6730769230769231,post2017
571,QR1,3,0.17109856794043857,0.31649642341031925,0.0007700669760068978,0.014903051948598802,0.5900463645024023,0.6538461538461539,post2017
571,QR1,4,0.1717403975559159,0.3174117246498524,0.0007713505964623551,0.014919303285372177,0.593281342092361,0.6634615384615384,post2017
571,QR2,0,0.17519155226524263,0.3204808725914937,0.000796356691883659,0.015339732995405645,0.6028956436223785,0.6442307692307693,post2017
571,QR2,1,0.17584595465163058,0.3215794632595029,0.0007976726008179686,0.015289984768130954,0.6247001684531577,0.6346153846153846,post2017
571,QR2,2,0.17280714730398294,0.3185253004439202,0.000789733104973443,0.015077579502075774,0.6217942030251931,0.7211538461538461,post2017
571,QR2,3,0.17888381008385426,0.32404031577795833,0.0008117127282942009,0.015478026743192121,0.644629899800716,0.6538461538461539,post2017
571,QR2,4,0.17737059354805434,0.3190572525447642,0.0008137482152158628,0.015132829989947737,0.667117131475186,0.6442307692307693,post2017
120,AR1,0,0.09193370374899461,0.26159138876868065,0.00011432653746893213,0.009268937430639838,0.18791810559632172,0.75,last12
120,AR3,0,0.09177236803213545,0.2697374239184582,0.00011534320257639962,0.009560913226999259,0.18717024145986952,0.5833333333333334,last12
120,ARMAX,0,0.08913414757320424,0.25840483479396337,0.00011545102560408587,0.009098611165446613,0.20122197051145194,0.75,last12
120,CRL,0,0.09265898633344877,0.2717467135475839,0.00011655997115280891,0.009643014349062005,0.18791823772744262,0.5833333333333334,last12
120,CRL,1,0.09178244524806023,0.2699435309830728,0.00011540804295625625,0.009570535174678542,0.18706046940213905,0.5833333333333334,last12
120,CRL,2,0.09174389382425875,0.2696631147025346,0.00011530390038795899,0.009557733942596965,0.18718507398137949,0.5833333333333334,last12
120,CRL,3,0.09177812258637404,0.26979723951422835,0.00011537248418813226,0.009563731719246767,0.18717115571255397,0.5833333333333334,last12
